m,xi_d,dtheta_deg,depth_frac,r1_mm,r2_mm,eta_bar,delta_eta,ratio_split_over_mean,B_signed,B_sign,psi_lower_deg,theta0_hat_deg,s_bar_radial_pct,s_bar_azavg_pct
2,0.8,20,0.5,29.328000000000003,35.328,0.010787752058735698,0.04013075300020073,3.720029231456398,12503488.72104082,+,67.91831180523293,22.918311805232936,24.810964083175808,1.378386893509767
2,0.8,30,0.1,29.328000000000003,35.328,0.0022137990754948576,0.012117977254141245,5.473837887222206,3775583.077602017,+,67.91831180523293,22.918311805232936,7.684310018903591,0.6403591682419658
2,0.8,30,0.25,29.328000000000003,35.328,0.006592972429609605,0.02894471244048274,4.3902371425807205,9018267.998398526,+,67.91831180523293,22.918311805232936,16.392958412098302,1.3660798676748582
2,0.8,30,0.5,29.328000000000003,35.328,0.01618162808810355,0.05406801725397385,3.3413212168510853,16845904.782816336,+,67.91831180523293,22.918311805232936,24.810964083175808,2.06758034026465
2,0.8,45,0.1,29.328000000000003,35.328,0.0033206986132422868,0.01399263485942442,4.213762370250818,4359667.812402641,+,67.91831180523293,22.918311805232936,7.684310018903591,0.9605387523629488
2,0.8,45,0.25,29.328000000000003,35.328,0.009889458644414408,0.03342247503825804,3.379606128100363,10413398.912999153,+,67.91831180523293,22.918311805232936,16.392958412098302,2.049119801512288
2,0.8,45,0.5,29.328000000000003,35.328,0.02427244213215532,0.06243236863226226,2.5721502719973093,19451975.32220363,+,67.91831180523293,22.918311805232936,24.810964083175808,3.1013705103969755
2,0.8,60,0.1,29.328000000000003,35.328,0.004427598150989715,0.012117977254141247,2.7369189436111037,3775583.0776020177,+,67.91831180523293,22.918311805232936,7.684310018903591,1.2807183364839316
2,0.8,60,0.25,29.328000000000003,35.328,0.01318594485921921,0.02894471244048274,2.1951185712903603,9018267.998398526,+,67.91831180523293,22.918311805232936,16.392958412098302,2.7321597353497165
2,0.8,60,0.5,29.328000000000003,35.328,0.0323632561762071,0.05406801725397385,1.6706606084255426,16845904.782816336,+,67.91831180523293,22.918311805232936,24.810964083175808,4.1351606805293
2,0.8,90,0.1,29.328000000000003,35.328,0.0066413972264845736,1.7136035492231793e-18,2.580185299547614e-16,5.339053231804639e-10,+,67.5,22.5,7.684310018903591,1.9210775047258977
2,0.8,90,0.25,29.328000000000003,35.328,0.019778917288828815,4.093072707518502e-18,2.0694119135784446e-16,1.275273564704894e-09,+,0.0,45.0,16.392958412098302,4.098239603024576
2,0.8,90,0.5,29.328000000000003,35.328,0.04854488426431064,7.64576004086876e-18,1.5749877987637496e-16,2.382179931542998e-09,+,0.0,45.0,24.810964083175808,6.202741020793951
3,0.2,10,0.1,16.632,22.631999999999998,-0.0019861648262999897,0.0001973374439090442,0.09935602589270626,-118985.09053375067,-,22.91831180523293,22.91831180523293,7.684310018903587,0.21345305608065518
3,0.2,10,0.25,16.632,22.631999999999998,-0.004229025886556154,0.0004055780980637873,0.09590343236088913,-244544.29813567904,-,22.918311805232925,22.918311805232925,16.392958412098295,0.4553599558916192
3,0.2,10,0.5,16.632,22.631999999999998,-0.006373939945205264,0.0005627632384610931,0.08829126777142392,-339319.45985994913,-,22.918311805232932,22.918311805232932,24.810964083175797,0.6891934467548833
3,0.2,20,0.1,16.632,22.631999999999998,-0.003972329652599979,0.00034179847908623806,0.08604484244214808,-206088.22214763885,-,22.918311805232932,22.918311805232932,7.684310018903587,0.42690611216131036
3,0.2,20,0.25,16.632,22.631999999999998,-0.008458051773112308,0.0007024818722836321,0.08305480873465261,-423563.1490722671,-,22.91831180523293,22.91831180523293,16.392958412098295,0.9107199117832384
3,0.2,20,0.5,16.632,22.631999999999998,-0.012747879890410528,0.0009747345216466129,0.0764624808223874,-587718.5444742601,-,22.91831180523294,22.91831180523294,24.810964083175797,1.3783868935097665
3,0.2,30,0.1,16.632,22.631999999999998,-0.005958494478899968,0.0003946748878180884,0.06623735059513751,-237970.18106750134,-,22.91831180523293,22.91831180523293,7.684310018903587,0.6403591682419655
