xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.8,0.05,0.0001,20.0,all_measurable,gaussian_radial,5,8656087298734.294,320.61351525948186,28.621814470335522,0.065992570175657,0.011667514874018828,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.05,0.0001,20.0,freq_only,pocket,3,651563513.0763763,79.39270618129531,4.049646988320462,0.25724072730829217,0.4531274064978626,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.05,0.0001,20.0,freq_plus_splitting,pocket,6,3689449605.0122504,92.10486745992135,7.160042949479637,0.22694110966126071,0.22698391461976425,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.05,0.0003,20.0,default_m0_3,gaussian_radial,4,20521503898.35188,75.6939186709977,25.002452667094634,0.2795017160237546,0.05793178743879599,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.05,0.0003,20.0,d_optimal_4,gaussian_radial,4,78519251306.73991,92.27689823070939,32.90804626878821,0.22928236025865156,0.03695699840666886,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.05,0.0003,20.0,all_measurable,gaussian_radial,5,106865275293.01584,106.87117175316064,28.62181447033551,0.197977710526971,0.035002544622056486,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.05,0.0003,20.0,freq_only,pocket,3,8043993.988597228,26.464235393765108,4.04964698832046,0.7717221819248766,1.359382219493588,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.05,0.0003,20.0,freq_plus_splitting,pocket,6,45548760.555706576,30.701622486640453,7.160042949479638,0.6808233289837825,0.6809517438592929,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.05,0.001,20.0,default_m0_3,gaussian_radial,4,166224181.5766497,22.70817560129931,25.002452667094627,0.931672386745849,0.19310595812931997,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.05,0.001,20.0,d_optimal_4,gaussian_radial,4,636005935.5845937,27.683069469212818,32.90804626878822,0.7642745341955051,0.1231899946888962,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
