arm,h_over_L,a_bar,coupling,shear_flex,convention,c_MM,c_QQ,c_MQ,ratio_f1,ratio_f2,ratio_f3
modeI+II_c0.5,0.03333333333333333,0.5,0.5,True,dimarogonas,0.08282616834520723,2.224144762931721e-09,6.786335324729646e-06,0.9171948798742545,0.9989743355454639,0.9778029630396979
modeI+II_c0.5,0.03333333333333333,0.6,0.5,True,dimarogonas,0.1537228728920286,3.4039702696337115e-09,1.1437526929882474e-05,0.8606665215562566,0.9983668640104555,0.9631516535941997
modeI+II_c0.9,0.03333333333333333,0.1,0.9,True,dimarogonas,0.0026599725490991507,8.280430901981034e-11,4.223840942095869e-07,0.9969558435058521,0.9999528017349991,0.9992272555389478
modeI+II_c0.9,0.03333333333333333,0.2,0.9,True,dimarogonas,0.010113064725201577,3.3074100599586106e-10,1.6459927742067049e-06,0.9885662200431594,0.9998211119935556,0.9971132664048032
modeI+II_c0.9,0.03333333333333333,0.3,0.9,True,dimarogonas,0.023311236927897324,7.553485127972514e-10,3.776581469717131e-06,0.9742186705351528,0.9995999315959183,0.9935061456889426
modeI+II_c0.9,0.03333333333333333,0.4,0.9,True,dimarogonas,0.045235238860131505,1.3736281271457983e-09,7.0943978682840005e-06,0.9517307912302414,0.9992698699246201,0.9878479134970304
modeI+II_c0.9,0.03333333333333333,0.5,0.9,True,dimarogonas,0.08282616834520723,2.224144762931721e-09,1.2215403584513364e-05,0.916604453248814,0.9987934987792468,0.9790266099796804
modeI+II_c0.9,0.03333333333333333,0.6,0.9,True,dimarogonas,0.1537228728920286,3.4039702696337115e-09,2.0587548473788455e-05,0.8598443655114043,0.9981068010925933,0.9649886500753689
modeI,0.1,0.1,0.0,False,dimarogonas,9.851750181848708e-05,0.0,0.0,0.9912175687288783,0.9999530586046509,0.9975329152297714
modeI,0.1,0.2,0.0,False,dimarogonas,0.00037455795278524363,0.0,0.0,0.9677870748570663,0.9998294341967474,0.9910065458327437
modeI,0.1,0.3,0.0,False,dimarogonas,0.0008633791454776787,0.0,0.0,0.9300700194412168,0.9996354223858638,0.980699850556765
modeI,0.1,0.4,0.0,False,dimarogonas,0.0016753792170419075,0.0,0.0,0.8761005724031924,0.9993687805726534,0.9664710124640933
modeI,0.1,0.5,0.0,False,dimarogonas,0.003067635864637305,0.0,0.0,0.8020114485596351,0.9990244993315553,0.9481347365830555
modeI,0.1,0.6,0.0,False,dimarogonas,0.0056934397367418,0.0,0.0,0.7018930085735091,0.9986010598887379,0.9258949360903468
modeI+II_c0,0.1,0.1,0.0,True,dimarogonas,9.851750181848708e-05,2.7601436339936786e-11,0.0,0.9912081129817821,0.9998648950030014,0.9974481863252403
modeI+II_c0,0.1,0.2,0.0,True,dimarogonas,0.00037455795278524363,1.1024700199862037e-10,0.0,0.9677519230488442,0.9994785227684609,0.9906679483927241
modeI+II_c0,0.1,0.3,0.0,True,dimarogonas,0.0008633791454776787,2.517828375990839e-10,0.0,0.9299987675590735,0.998838447440771,0.9799267656968178
modeI+II_c0,0.1,0.4,0.0,True,dimarogonas,0.0016753792170419075,4.5787604238193276e-10,0.0,0.8759922836261387,0.9979305024055758,0.965068286534488
modeI+II_c0,0.1,0.5,0.0,True,dimarogonas,0.003067635864637305,7.413815876439072e-10,0.0,0.8018769644590941,0.9967185913113492,0.9458763170496206
modeI+II_c0,0.1,0.6,0.0,True,dimarogonas,0.0056934397367418,1.1346567565445706e-09,0.0,0.7017550916314149,0.9951147551528636,0.922474259308152
modeI,0.2,0.1,0.0,False,dimarogonas,1.2314687727310885e-05,0.0,0.0,0.9832332493827072,0.9999961492642653,0.9957838405727752
modeI,0.2,0.2,0.0,False,dimarogonas,4.6819744098155454e-05,0.0,0.0,0.9403857826001794,0.9999865288879766,0.9851878482118955
modeI,0.2,0.3,0.0,False,dimarogonas,0.00010792239318470983,0.0,0.0,0.8765111724105473,0.9999727951272381,0.9699829596186407
modeI,0.2,0.4,0.0,False,dimarogonas,0.00020942240213023844,0.0,0.0,0.7941651642120693,0.999956205892598,0.9516755050397623
modeI,0.2,0.5,0.0,False,dimarogonas,0.0003834544830796631,0.0,0.0,0.6946075581362742,0.9999379015329413,0.9318207512601286
modeI,0.2,0.6,0.0,False,dimarogonas,0.000711679967092725,0.0,0.0,0.5781536104592337,0.9999190090029291,0.9120501679384905
modeI+II_c0,0.2,0.1,0.0,True,dimarogonas,1.2314687727310885e-05,1.3800718169968393e-11,0.0,0.9831628195036346,0.9994473231874029,0.9954491014076529
modeI+II_c0,0.2,0.2,0.0,True,dimarogonas,4.6819744098155454e-05,5.512350099931019e-11,0.0,0.9401399044408766,0.9978006665195358,0.9838459472444517
modeI+II_c0,0.2,0.3,0.0,True,dimarogonas,0.00010792239318470983,1.2589141879954194e-10,0.0,0.8760571087703528,0.9950024206172744,0.9669107042771325
modeI+II_c0,0.2,0.4,0.0,True,dimarogonas,0.00020942240213023844,2.2893802119096638e-10,0.0,0.7935520554158202,0.9909673322778361,0.9460941625114725
modeI+II_c0,0.2,0.5,0.0,True,dimarogonas,0.0003834544830796631,3.706907938219536e-10,0.0,0.6939446213790101,0.985477988308116,0.9228388347057398
modeI+II_c0,0.2,0.6,0.0,True,dimarogonas,0.000711679967092725,5.673283782722853e-10,0.0,0.5775697022136392,0.9779570343165703,0.8984758765857842
