xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.5,0.05,0.0003,20.0,freq_plus_splitting,pocket,6,32045190.821040217,35.18882550864816,4.571638564696679,0.5988394415456494,0.6731222834942633,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.05,0.001,20.0,default_m0_3,gaussian_radial,4,1464632232.51353,74.31589365132334,6.9294838133382255,0.27928623124259694,0.3260188344244102,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.05,0.001,20.0,d_optimal_4,gaussian_radial,4,3047315502.377053,97.49692653902063,5.807334738886748,0.21631761133776456,0.1952239629745839,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.001,20.0,all_measurable,gaussian_radial,5,4359826881.35949,104.85780082534951,6.0052782138379355,0.20054285227710333,0.19102302344966451,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.001,20.0,freq_only,pocket,3,51128.072830868296,5.5550630616807855,7.327430783093685,3.7514790433282488,3.9713713675047133,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.05,0.001,20.0,freq_plus_splitting,pocket,6,259566.0456504254,10.556647652594448,4.57163856469668,1.9961314718188314,2.2437409449808774,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.05,0.003,20.0,default_m0_3,gaussian_radial,4,18081879.413747326,24.771964550441112,6.929483813338226,0.8378586937277914,0.978056503273231,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.05,0.003,20.0,d_optimal_4,gaussian_radial,4,37621179.04169196,32.498975513006876,5.807334738886748,0.6489528340132937,0.5856718889237518,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.003,20.0,all_measurable,gaussian_radial,5,53825023.22666031,34.9526002751165,6.005278213837935,0.60162855683131,0.5730690703489938,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.003,20.0,freq_only,pocket,3,631.2107756897301,1.851687687226928,7.327430783093686,11.254437129984753,11.914114102514144,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.05,0.003,20.0,freq_plus_splitting,pocket,6,3204.519082104019,3.518882550864816,4.571638564696679,5.9883944154564945,6.731222834942632,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,452946217069.37427,185.97299692590576,19.459135356185527,0.11369804936197171,0.034347080874874904,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.01,0.0001,20.0,d_optimal_4,gaussian_radial,4,978716950476.0377,199.00233266654888,24.981138124957816,0.10632982634880099,0.020184453229359307,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.01,0.0001,20.0,all_measurable,gaussian_radial,5,1459026229442.7656,234.85398177097787,21.89957538411317,0.09009424955705779,0.019881835491666482,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.01,0.0001,20.0,freq_only,pocket,3,25277225.698694263,17.964495557524963,15.578823235944682,1.1766508352511886,0.4384656226489635,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.8,0.01,0.0001,20.0,freq_plus_splitting,pocket,6,130792548.78558068,19.215975349698358,30.97181351351845,1.100674808714712,0.22900088468640242,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.01,0.0003,20.0,default_m0_3,gaussian_radial,4,5591928605.794737,61.99099897530192,19.45913535618553,0.3410941480859152,0.10304124262462472,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.01,0.0003,20.0,d_optimal_4,gaussian_radial,4,12082925314.518969,66.3341108888496,24.98113812495783,0.318989479046403,0.060553359688077915,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.01,0.0003,20.0,all_measurable,gaussian_radial,5,18012669499.293446,78.28466059032597,21.899575384113167,0.27028274867117347,0.059645506474999437,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.01,0.0003,20.0,freq_only,pocket,3,312064.5147986953,5.988165185841655,15.578823235944679,3.5299525057535646,1.31539686794689,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.8,0.01,0.0003,20.0,freq_plus_splitting,pocket,6,1614722.8245133397,6.40532511656612,30.971813513518455,3.3020244261441363,0.6870026540592072,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.01,0.001,20.0,default_m0_3,gaussian_radial,4,45294621.70693739,18.59729969259057,19.459135356185538,1.1369804936197172,0.34347080874874897,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.01,0.001,20.0,d_optimal_4,gaussian_radial,4,97871695.04760368,19.90023326665489,24.98113812495781,1.06329826348801,0.2018445322935931,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.01,0.001,20.0,all_measurable,gaussian_radial,5,145902622.94427696,23.485398177097785,21.899575384113174,0.9009424955705782,0.1988183549166648,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.01,0.001,20.0,freq_only,pocket,3,2527.7225698694283,1.7964495557524964,15.578823235944682,11.766508352511885,4.384656226489634,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.8,0.01,0.001,20.0,freq_plus_splitting,pocket,6,13079.254878558057,1.9215975349698353,30.97181351351847,11.006748087147123,2.2900088468640245,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.01,0.003,20.0,default_m0_3,gaussian_radial,4,559192.8605794732,6.199099897530192,19.45913535618553,3.4109414808591514,1.030412426246247,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.01,0.003,20.0,d_optimal_4,gaussian_radial,4,1208292.531451898,6.6334110888849604,24.981138124957823,3.1898947904640296,0.6055335968807791,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
