block,p_depth_frac,t_f_mm,s_mm,t_f_over_s,d_K_asbuilt,d_K_thin_face,d_K_first_order,dK_asbuilt_over_thin,dK_asbuilt_over_first_order,d_M,zeta_asbuilt,zeta_thin_face,d_K_monolithic,d_M_monolithic,zeta_monolithic,d_K_sandwich,d_M_sandwich,zeta_sandwich,d_M_asbuilt,dK_ratio_mono_over_sw,dK_ratio_mono_over_asbuilt,d_K,dM_ratio_sw_over_mono,dM_ratio_asbuilt_over_mono,dM_ratio_asbuilt_over_sw,law,m,n,xi_star,r_star_mm,xi_d,s_bar,sigma_rel,cond2,det_F,crlb_xi_mm,crlb_s_pp,crlb_xi_ratio_sw_over_mono,crlb_s_ratio_sw_over_mono,cond2_ratio_sw_over_mono,crlb_xi_ratio_asbuilt_over_mono,crlb_s_ratio_asbuilt_over_mono,cond2_ratio_asbuilt_over_mono,abs_err_over_floor_max,abs_err_over_floor_m0,worst_mode,d_K_local_target,depth_mm_monolithic,depth_mm_sandwich,depth_mm_asbuilt,depth_ratio_sw_over_mono,depth_ratio_asbuilt_over_mono
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.5,0.05,0.001,6.667550769671609,1851319603.3454096,0.2575023020801065,0.32180909588584494,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.5,0.05,0.001,3.282275513352992,1814568304.8356268,0.1612059567236149,0.511512548930677,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.5,0.05,0.001,4.123835627827342,1767919894.1206756,0.19383170952346426,0.4464749982091957,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.05,0.001,,,,,0.6260369535394106,1.5894906497985544,0.49227604359353844,0.7527377734400412,1.3873908597275117,0.6184933224033702,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.8,0.01,0.001,21.3778693777211,56005182.99906795,1.1300217042071004,0.3302144463954671,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.8,0.01,0.001,127.0997012162734,343331258.86077386,1.75113447068824,0.3340568843730306,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.8,0.01,0.001,78.9236872655179,184426859.50132367,1.6116224950365412,0.3409993364430621,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.01,0.001,,,,,1.5496467582602356,1.0116361898139423,5.945386744140652,1.4261872042248644,1.0326602611282454,3.691840654044226,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.8,0.05,0.001,5.250555889500028,1496334648.5992072,0.2407958086202142,0.3340546570847269,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.8,0.05,0.001,17.92891590486782,6583795566.969053,0.30693829185883276,0.33520688080489225,,,,,,,,,,,,,,,
