sigma_rel,xi_d,s_bar,sigma_min,sigma_max,cond2,det_F,tr_Finv,corr,crlb_xi_mm,crlb_s_pp,mass_coupling
0.001,0.95,0.15,15.617981970304623,515.0480187538273,32.977885346078516,64706107.670953885,0.004103451629841369,0.9979841738897529,1.0917389615883737,3.7966595981270417,None
0.003,0.2,0.01,2.730624944427306,479.37107662072276,175.5536136879689,1713435.4980418803,0.13411890069729437,0.9747204617258727,7.746747203803969,0.9339529912821639,None
0.003,0.2,0.05,13.552915645111367,482.9155045798866,35.63185348638082,42835887.45104664,0.005448493774124612,0.9747204617258728,1.5493494407608004,0.9339529912821678,None
0.003,0.2,0.15,38.373550915354514,511.67376548429576,13.334021826986001,385522987.05942065,0.0006829231473405024,0.974720461725873,0.5164498135869328,0.9339529912821667,None
0.003,0.5,0.01,4.055138526229505,223.8544734922948,55.20266990741651,824029.8510739454,0.06083186110994559,0.6565981815844337,5.2174215587257455,0.5923499787853949,None
0.003,0.5,0.05,20.214925700438513,224.52738960790106,11.107010381098283,20600746.27684864,0.0024669587801450614,0.6565981815844338,1.043484311745149,0.5923499787853949,None
0.003,0.5,0.15,59.08292088922803,230.46276810586605,3.900666463967659,185406716.49163756,0.0003052957308931896,0.6565981815844336,0.34782810391504965,0.5923499787853947,None
0.003,0.8,0.01,1.5141133074834232,189.22399679391964,124.97347183905607,82086.01559340757,0.43622550373426866,0.40965359060587125,13.975085801187735,0.5793178743879599,None
0.003,0.8,0.05,7.569391867099769,189.25336187585305,25.002452667094634,2052150.3898351863,0.017481238632530944,0.4096535906058716,2.795017160237547,0.57931787438796,None
0.003,0.8,0.15,22.678448324572617,189.50143824242895,8.356014288556938,18469353.508516654,0.001972191776911029,0.40965359060587153,0.9316723867458493,0.57931787438796,None
0.003,0.95,0.01,0.43019411337442454,138.5078558149195,321.96594864692526,3550.4037130838756,5.403501331052287,0.9979841738897528,49.128253271476964,11.389978794381161,None
0.003,0.95,0.05,2.0917710342188607,142.427787871972,68.0895688591268,88760.09282709722,0.22859428846798976,0.9979841738897529,9.825650654295368,11.389978794381133,None
0.003,0.95,0.15,5.2059939901015575,171.6826729179424,32.9778853460784,798840.83544384,0.03693106466857409,0.997984173889753,3.2752168847651997,11.389978794381397,None
