config,n_vane,vane_mode,vane_arc_cells,modulation_depth,wrap_deg,n_theta,n_r,n_dof,mode,rigid,f_Hz,c_rotation,h_index,h_index_raw,deg_protected,m_dominant,m_share,alias_orders,alias_share,psi_deg,purity
c6_web,6,web,-1,0.0,60.0,108,18,43092,15,False,21031.090544133247,-0.49999999999999994,2,1.9999999999999998,2,4,0.9999999999673933,2|4|8|10,0.9999999999718359,32.301543188214495,0.9999999999673933
c6_web,6,web,-1,0.0,60.0,108,18,43092,16,False,21031.090544183775,-0.5,2,2.0,2,4,0.9999999999867667,2|4|8|10,0.9999999999901354,9.801543188243611,0.9999999999867667
c6_web,6,web,-1,0.0,60.0,108,18,43092,17,False,28190.484554639508,-0.5,2,2.0,2,2,0.9999999999466427,2|4|8|10,0.9999999999544936,25.34498053236904,0.9999999999466427
c6_web,6,web,-1,0.0,60.0,108,18,43092,18,False,28190.484554697006,-0.5,2,2.0,2,2,0.9999999999721282,2|4|8|10,0.9999999999803096,70.34498053238528,0.9999999999721282
c6_web,6,web,-1,0.0,60.0,108,18,43092,19,False,31202.2917310558,0.5,1,1.0,2,5,0.9999999999382656,1|5|7|11,0.9999999999510744,1.5403364893764315,0.9999999999382656
c6_web,6,web,-1,0.0,60.0,108,18,43092,20,False,31202.291731212405,0.5,1,1.0,2,5,0.9999999999881912,1|5|7|11,0.9999999999901228,19.54033648930081,0.9999999999881912
c6_web,6,web,-1,0.0,60.0,108,18,43092,21,False,31832.908903812833,1.0,0,0.0,1,0,0.9999999962119743,0|6|12,0.9999999962960148,0.0,0.9999999962119743
c6_web,6,web,-1,0.0,60.0,108,18,43092,22,False,35034.630219888364,-1.0,3,3.0,1,3,0.9999999925232732,3|9,0.9999999928362043,14.934042366642496,0.9999999925232732
c6_web,6,web,-1,0.0,60.0,108,18,43092,23,False,35034.630220114464,-0.9999999999999998,3,2.999999979876362,1,3,0.9999999993828513,3|9,0.9999999993934218,44.93404239058462,0.9999999993828513
c6_web,6,web,-1,0.0,60.0,108,18,43092,24,False,37640.015255676924,0.49999999999999994,1,1.0,2,1,0.999999997743806,1|5|7|11,0.9999999983810144,74.864158264645,0.999999997743806
c6_web,6,web,-1,0.0,60.0,108,18,43092,25,False,37640.015255811246,0.5,1,1.0,2,1,0.9999999991426906,1|5|7|11,0.9999999993242121,164.86415826950332,0.9999999991426906
c6_web,6,web,-1,0.0,60.0,108,18,43092,26,False,42174.527957776765,-1.0,3,3.0,1,3,0.9999999990201232,3|9,0.9999999990240361,34.187784930576356,0.9999999990201232
c6_web,6,web,-1,0.0,60.0,108,18,43092,27,False,42174.52795788175,-0.9999999999999998,3,2.999999979876362,1,3,0.9999999999160255,3|9,0.9999999999162849,4.18778493055855,0.9999999999160255
c6_web,6,web,-1,0.0,60.0,108,18,43092,28,False,42269.08897164036,1.0,0,0.0,1,6,0.9999999995805345,0|6|12,0.9999999995815138,19.435457022875685,0.9999999995805345
c6_web,6,web,-1,0.0,60.0,108,18,43092,29,False,42269.08897168188,1.0,0,0.0,1,6,0.9999999994462075,0|6|12,0.9999999994483678,4.435457022847395,0.9999999994462075
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,0,True,0.010073718646612821,0.12462452671975192,1,0.9204547422511637,2,0,0.5139114475511121,1|3|5|7|9|11,0.48608855242679766,0.0,0.5139114475511121
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,1,True,0.01039711907506384,0.5218478739235511,1,0.6504857217205938,2,1,0.8056168888479445,1|3|5|7|9|11,0.8056168888512845,144.36098058260217,0.8056168888479445
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,2,True,0.011254648404353584,0.3517676736194616,1,0.7711614210644425,2,1,0.8392158664579158,1|3|5|7|9|11,0.8392158664614872,47.11007499648219,0.8392158664579158
