xi_c,half_xi,depth_frac,r1_mm,r2_mm,s_bar_pct,m,n,matched,purity,mac,ndof,nr,ntheta,nz,shape_exact,eta_lin,eta_kirchhoff_exact,eta_3d,e_lin_abs,e_lin_rel,e_modelform_abs,e_modelform_rel,e_total_abs,e_total_rel,delta_modelform,kappa_modelform,ritz_n_trial,ritz_abs_change,ritz_ntrial_rel_change,e_pert_a2_gaussian_rel
0.5,0.1,0.5,23.864000000000004,28.096000000000004,17.499999999999996,0,0,True,0.9999999970229304,0.989439654263061,95616,20,48,4,True,-0.0487586517772057,-0.2570355166610061,-0.2835829297091917,0.2082768648838003,0.8103038350084839,0.0265474130481856,0.0936142844543197,0.2348242779319859,0.8280621057578933,-0.0265474130481856,1.103283053614719,36,1.8843657025868765e-05,7.331149123146633e-05,0.4302403620075632
0.5,0.1,0.5,23.864000000000004,28.096000000000004,17.499999999999996,1,0,True,0.9999999987658432,0.990102710968288,95616,20,48,4,True,-0.0539812982815522,-0.233160495304715,-0.2917327220971302,0.1791791970231627,0.7684800840253634,0.0585722267924151,0.2007735929359133,0.2377514238155779,0.8149631693918119,-0.0585722267924151,1.2512099089336195,36,2.2385228562682435e-05,9.600781012850144e-05,0.3935295553526053
0.5,0.1,0.5,23.864000000000004,28.096000000000004,17.499999999999996,2,0,True,0.999999999877246,0.9934346145504548,95616,20,48,4,True,-0.0783401112568919,-0.1840955635771627,-0.2583092665726527,0.1057554523202707,0.5744595375648142,0.07421370299549,0.2873056161715998,0.1799691553157607,0.6967197023307027,-0.07421370299549,1.4031259719324185,36,0.0001343761237218,0.0007299259205965,0.2536793197180297
0.5,0.1,0.5,23.864000000000004,28.096000000000004,17.499999999999996,3,0,True,0.99999999996407,0.9957899876570546,95616,20,48,4,True,-0.1073964783067339,-0.1545294302847173,-0.1943462424741865,0.0471329519779833,0.3050095499034837,0.0398168121894692,0.204875647105746,0.0869497641674525,0.4473961680993212,-0.0398168121894692,1.257664912865514,36,0.0001490532926072,0.0009645624935823,0.1206825151728143
0.7,0.1,0.25,28.096000000000004,32.328,11.5625,0,0,True,0.9999999983802188,0.9997285977606176,99648,20,48,4,True,0.0378686623090991,0.031491188665802,0.0333641494744081,0.0063774736432971,0.202516129542699,0.0018729608086061,0.0561369265547366,0.004504512834691,0.1350105698976743,0.0018729608086061,1.059475710125863,36,1.89641429491072e-05,0.0006022047357552,0.0842822128785606
0.7,0.1,0.25,28.096000000000004,32.328,11.5625,1,0,True,0.9999999991670552,0.9997078418250536,99648,20,48,4,True,0.037570642057419,0.0316711972338177,0.0270608654750268,0.0058994448236013,0.1862716076076225,0.0046103317587908,0.1703689692794762,0.0105097765823922,0.3883754786812404,-0.0046103317587908,0.854431402616252,36,1.3663568700472696e-05,0.0004314193934507,0.0892186531859049
0.7,0.1,0.25,28.096000000000004,32.328,11.5625,2,0,True,0.9999999998777952,0.9996283566614592,99648,20,48,4,True,0.0109545114327861,0.0046592296348306,-0.0075588878314669,0.0062952817979555,1.3511422040447012,0.0122181174662976,1.6163908948925958,0.0185133992642531,2.449222647170864,-0.0122181174662976,-1.6223471311565154,36,2.735064771997031e-05,0.0058702081381666,457.95208689899823
0.7,0.1,0.25,28.096000000000004,32.328,11.5625,3,0,True,0.9999999999656308,0.9994924480727851,99648,20,48,4,True,-0.0444016334242824,-0.0532932622133686,-0.0590335557390351,0.0088916287890861,0.1668433948270428,0.0057402935256665,0.097237807443654,0.0146319223147527,0.2478577163712594,-0.0057402935256665,1.1077114308124782,36,6.92436499691862e-05,0.0012992946405111,0.114408270911427
0.7,0.1,0.5,28.096000000000004,32.328,17.499999999999996,0,0,True,0.9999999959069468,0.9953529313089104,95616,20,48,4,True,0.0911698433695755,0.0394442733178093,0.026901918895573,0.0517255700517662,1.311358169410409,0.0125423544222362,0.4662252708040185,0.0642679244740025,2.3889717578688576,-0.0125423544222362,0.682023437948004,36,3.387551904210362e-05,0.0008588197016373,0.1634435811138517
0.7,0.1,0.5,28.096000000000004,32.328,17.499999999999996,1,0,True,0.9999999979860236,0.99536308410863,95616,20,48,4,True,0.0906425803104116,0.0462045672697071,0.0115349032139187,0.0444380130407045,0.9617666751710756,0.0346696640557884,3.005631119119746,0.0791076770964929,6.858113642517338,-0.0346696640557884,0.2496485498194736,36,2.6820527129212124e-05,0.0005804735054146,0.1653727702301743
0.7,0.1,0.5,28.096000000000004,32.328,17.499999999999996,2,0,True,0.999999999884991,0.9954136087234648,95616,20,48,4,True,0.0500684821980188,0.017967164940241,-0.0367797875663612,0.0321013172577777,1.7866656962602028,0.0547469525066023,1.4885064903603151,0.08684826976438,2.361304279087556,-0.0547469525066023,-2.0470557090498733,36,0.0001018022572945,0.0056660167384836,2.311522835315729
0.7,0.1,0.5,28.096000000000004,32.328,17.499999999999996,3,0,True,0.9999999999499356,0.9950476066731444,95616,20,48,4,True,-0.0343131466428597,-0.0645620713630357,-0.0874779339443116,0.030248924720176,0.4685246938575563,0.0229158625812759,0.2619616347576771,0.0531647873014519,0.6077508338879678,-0.0229158625812759,1.354943112844366,36,0.0001832300279925,0.0028380444450469,0.1990635721848407
0.2,0.05,0.25,18.574,20.69,5.78125,0,0,True,0.9999999989016217,0.9997779279792633,101952,20,48,4,True,-0.1044458860874375,-0.1758735524160313,-0.2286692955944185,0.0714276663285938,0.40613079878906794,0.0527957431783872,0.23088251984660363,0.124223409506981,0.5432448164239376,-0.0527957431783872,1.3001914867421234,36,2.7755172234855685e-05,0.00015781322349821218,0.044841644796730584
0.2,0.05,0.25,18.574,20.69,5.78125,1,0,True,0.9999999995124557,0.9997261233076886,101952,20,48,4,True,-0.10308392258808116,-0.16910269133076872,-0.22403275257873967,0.06601876874268756,0.39040637510347687,0.05493006124797095,0.24518763714544353,0.12094882999065851,0.5398711956107812,-0.05493006124797095,1.3248325666238303,36,1.847317815040217e-05,0.00010924236631023342,0.04298970291284165
